Gene  Rule 
g897    ( g197 or g313 or g375 or g434 or g601 or g805 or g812 or g836 or g906 or g1062 or g1168 or g1274 or g1384 or g1457 or g1469 or g1500 )
g898    ( g116 or g170 or g365 or g437 or g497 or g499 or g637 or g1496 )
g899    ( g251 or g483 )
g900    ( g18 or g100 )
g901    ( g828 or g882 or g948 or g1358 )
g902    ( g6 or g768 )
g903    ( g937 or g1259 )
g904    ( g175 or g445 or g580 or g802 or g853 or g1414 )
g905    ( g20 or g614 or g692 )
g906    ( g61 or g99 or g113 or g143 or g325 or g1362 )
g907    ( g80 or g488 )
g908    ( g758 )
g909    ( g357 or g672 or g814 or g818 or g1070 or g1468 )
g910    ( g229 or g405 or g1158 )
g911    ( g604 )
g912    ( g231 or g434 or g567 or g840 or g1168 or g1177 or g1332 or g1467 )
g913    ( g329 or g358 or g409 or g741 or g1246 or g1492 )
g914    ( g3 or g218 or g854 or g859 )
g915    ( g487 or g544 or g1193 or g1422 or g1472 )
g916    ( g1236 )
g917    ( g210 or g411 or g443 or g786 or g906 or g1023 )
g918    ( g750 )
g919    ( g115 or g174 or g225 or g251 or g507 or g614 or g643 or g644 or g941 or g942 or g984 or g1047 or g1131 or g1235 or g1276 or g1424 or g1444 )
g920    ( g10 or g20 or g52 or g70 or g81 or g109 or g118 or g121 or g163 or g167 or g173 or g199 or g203 or g205 or g218 or g246 or g274 or g275 or g281 or g301 or g312 or g315 or g317 or g322 or g351 or g352 or g370 or g391 or g421 or g427 or g440 or g489 or g495 or g496 or g514 or g525 or g534 or g540 or g546 or g570 or g582 or g594 or g601 or g613 or g626 or g627 or g636 or g650 or g653 or g657 or g660 or g671 or g694 or g705 or g738 or g748 or g755 or g776 or g795 or g802 or g820 or g844 or g850 or g856 or g873 or g875 or g956 or g970 or g974 or g976 or g978 or g986 or g998 or g1000 or g1002 or g1029 or g1041 or g1046 or g1073 or g1078 or g1082 or g1085 or g1122 or g1125 or g1143 or g1174 or g1210 or g1249 or g1275 or g1281 or g1285 or g1286 or g1300 or g1308 or g1332 or g1342 or g1368 or g1376 or g1395 or g1413 or g1416 or g1432 or g1440 or g1451 or g1454 or g1461 or g1467 or g1478 or g1486 or g1494 or g1499 )
g921    ( g123 )
g922    ( g44 or g64 or g191 or g241 or g267 or g323 or g360 or g374 or g481 or g512 or g570 or g598 or g612 or g616 or g654 or g699 or g792 or g823 or g951 or g975 or g1100 or g1196 or g1249 or g1295 or g1338 or g1340 or g1404 or g1407 or g1420 or g1428 or g1434 or g1446 or g1452 or g1460 or g1487 )
g923    ( g336 or g408 or g909 or g1094 or g1105 )
g924    ( g7 or g217 )
g925    ( g65 or g88 or g150 or g283 or g344 or g410 or g428 or g473 or g544 or g613 or g722 or g732 or g808 or g890 or g980 or g983 or g1015 or g1029 or g1050 or g1078 or g1133 or g1207 or g1258 or g1325 or g1391 or g1439 )
g926    ( g422 or g788 or g1379 or g1477 )
g927    ( g295 or g666 or g669 or g787 or g931 or g1183 or g1414 )
g928    ( g874 )
g929    ( g1312 )
g930    ( g368 or g692 or g1027 or g1282 )
g931    ( g47 or g664 or g685 or g885 or g1016 or g1290 )
g932    ( g71 or g155 or g541 )
g933    ( g26 or g401 or g411 or g530 or g552 or g558 or g795 or g1116 or g1201 or g1282 or g1332 or g1341 or g1349 )
g934    ( g256 or g296 or g862 or g1125 or g1235 or g1287 )
g935    ( g486 or g577 or g1271 )
g936    ( g889 or g1499 )
g937    ( g34 or g140 or g143 or g342 or g986 or g1415 )
g938    ( g92 or g119 or g343 or g391 or g394 or g501 or g538 or g539 or g555 or g567 or g669 or g676 or g843 or g970 or g1165 or g1169 or g1415 or g1452 or g1487 )
g939    ( g56 or g396 or g806 or g1171 or g1248 or g1460 )
g940    ( g1392 )
g941    ( g8 or g306 or g487 or g539 or g794 or g897 or g928 or g1038 or g1103 or g1124 or g1154 or g1255 or g1365 )
g942    ( g331 or g698 or g1004 or g1497 )
g943    ( g155 or g171 or g177 or g303 or g331 or g405 or g515 or g569 or g583 or g601 or g809 or g813 or g836 or g846 or g890 or g950 or g982 or g1023 or g1054 or g1134 or g1176 or g1234 or g1268 or g1354 or g1431 or g1480 or g1493 )
g944    ( g238 or g313 or g389 or g402 or g420 or g479 or g491 or g583 or g645 or g648 or g670 or g699 or g746 or g888 or g1001 or g1075 or g1311 or g1330 or g1333 or g1358 or g1424 or g1467 or g1493 )
g945    ( g65 or g66 or g201 or g382 or g415 or g423 or g447 or g526 or g581 or g595 or g647 or g926 or g982 or g1166 or g1184 or g1207 or g1238 or g1247 or g1268 or g1305 or g1319 or g1349 or g1496 )
g946    
g947    ( g811 or g819 or g1022 or g1098 or g1288 )
g948    ( g8 or g159 or g400 or g536 or g1434 )
g949    ( g42 or g43 or g82 or g324 or g382 or g457 or g568 or g570 or g675 or g686 or g738 or g771 or g839 or g846 or g855 or g969 or g1069 or g1149 or g1361 or g1368 or g1414 or g1430 or g1440 or g1451 or g1452 )
g950    ( g6 or g13 or g141 or g236 or g310 or g332 or g539 or g577 or g629 or g664 or g737 or g755 or g877 or g977 or g1015 or g1247 or g1440 or g1488 )
g951    ( g64 or g459 or g580 or g1073 or g1272 )
g952    ( g243 or g1303 )
g953    ( g28 or g1392 )
g954    ( g250 or g288 or g291 or g306 or g543 or g562 or g736 or g799 or g822 or g923 or g1089 or g1117 or g1143 or g1258 or g1293 or g1322 or g1359 or g1468 )
g955    ( g9 or g120 or g242 or g522 or g783 or g1495 )
g956    ( g267 or g653 or g869 or g990 or g1065 or g1082 or g1142 or g1154 or g1362 )
g957    ( g1135 or g1178 or g1432 )
g958    ( g351 or g605 or g844 or g903 or g912 )
g959    ( g485 or g669 or g979 or g1293 )
g960    ( g55 or g248 or g374 or g397 or g475 or g629 or g791 or g1035 or g1043 or g1051 or g1094 or g1134 or g1138 or g1285 or g1417 or g1456 )
g961    ( g135 or g168 or g179 or g573 or g934 or g1434 )
g962    ( g121 or g848 or g1084 or g1310 or g1353 or g1357 or g1364 )
g963    ( g36 or g130 or g144 or g169 or g403 or g427 or g505 or g541 or g577 or g644 or g803 or g891 or g909 or g1030 or g1082 or g1191 or g1432 or g1484 )
g964    ( g364 or g418 or g493 or g551 or g687 or g768 or g1016 or g1170 or g1397 )
g965    ( g938 or g1474 )
g966    ( g456 or g760 or g998 or g1356 or g1400 )
g967    ( g83 or g1085 or g1339 )
g968    ( g251 or g318 or g952 or g1107 )
g969    ( g34 or g215 or g609 or g674 or g744 or g829 or g1066 or g1259 or g1339 or g1391 )
g970    ( g72 or g284 or g1196 or g1267 or g1434 or g1439 )
g971    ( g540 or g843 or g1498 )
g972    ( g318 or g344 or g430 or g526 or g536 or g640 or g852 or g1140 or g1190 or g1354 )
g973    ( g97 or g643 or g687 or g1260 )
g974    ( g40 or g323 or g681 or g1409 )
g975    ( g151 or g175 or g233 or g242 or g268 or g288 or g427 or g459 or g496 or g565 or g579 or g631 or g686 or g712 or g738 or g740 or g857 or g984 or g1065 or g1140 or g1164 or g1194 or g1199 or g1324 )
g976    ( g741 )
g977    ( g5 or g24 or g41 or g245 or g718 or g838 or g903 or g1008 or g1072 or g1120 or g1131 or g1138 or g1212 or g1334 or g1365 or g1422 or g1433 or g1442 )
g978    ( g1064 or g1100 or g1455 )
g979    ( g564 or g1462 )
g980    ( g185 or g735 or g1217 )
g981    ( g238 or g308 or g349 or g774 or g1023 or g1137 or g1362 )
g982    ( g8 or g146 or g215 or g216 or g323 or g411 or g549 or g730 or g796 or g797 or g811 or g870 or g875 or g1042 or g1080 or g1350 or g1415 or g1446 or g1457 or g1462 )
g983    ( g19 or g21 or g55 or g87 or g194 or g222 or g255 or g454 or g531 or g970 or g998 or g1000 or g1155 or g1203 or g1245 or g1261 or g1310 or g1441 or g1442 or g1487 )
g984    
g985    ( g451 or g737 or g1350 )
g986    ( g279 or g358 or g1327 )
g987    ( g256 or g481 or g662 or g698 or g1158 or g1446 )
g988    ( g10 or g33 or g141 or g145 or g153 or g236 or g322 or g419 or g451 or g652 or g751 or g790 or g836 or g913 or g927 or g1015 or g1023 or g1057 or g1272 or g1327 or g1410 or g1429 or g1442 or g1476 )
g989    ( g138 or g179 or g262 or g391 or g1321 or g1480 )
g990    ( g363 or g367 or g561 or g1116 or g1143 )
g991    ( g965 or g1009 or g1036 or g1213 or g1485 )
g992    ( g14 or g29 or g201 or g253 or g352 or g576 or g694 or g696 or g927 or g1011 or g1042 or g1193 or g1239 or g1392 )
g993    ( g62 or g85 or g98 or g131 or g153 or g155 or g190 or g201 or g228 or g255 or g280 or g298 or g311 or g358 or g401 or g414 or g420 or g481 or g484 or g486 or g503 or g527 or g569 or g603 or g666 or g683 or g693 or g702 or g763 or g768 or g813 or g842 or g890 or g952 or g957 or g1032 or g1066 or g1118 or g1123 or g1135 or g1153 or g1285 or g1331 or g1435 or g1471 or g1486 or g1492 )
g994    ( g77 or g115 or g159 or g208 or g298 or g314 or g349 or g391 or g410 or g430 or g490 or g511 or g791 or g803 or g950 or g1026 or g1084 or g1095 or g1104 or g1196 or g1243 or g1270 or g1285 or g1301 or g1329 or g1381 or g1384 or g1425 or g1434 or g1447 or g1484 )
g995    ( g475 or g1315 )
g996    ( g107 or g469 or g748 or g1006 or g1170 or g1495 )
g997    ( g5 or g11 or g22 or g27 or g29 or g31 or g37 or g39 or g48 or g53 or g77 or g86 or g90 or g104 or g109 or g110 or g114 or g132 or g163 or g174 or g179 or g181 or g186 or g196 or g202 or g224 or g225 or g229 or g240 or g241 or g252 or g279 or g281 or g291 or g296 or g299 or g312 or g344 or g358 or g365 or g372 or g373 or g374 or g378 or g384 or g390 or g391 or g396 or g399 or g409 or g415 or g416 or g419 or g422 or g430 or g432 or g445 or g452 or g462 or g480 or g490 or g517 or g535 or g541 or g551 or g554 or g555 or g566 or g571 or g586 or g587 or g591 or g604 or g616 or g618 or g647 or g648 or g657 or g661 or g664 or g673 or g674 or g691 or g693 or g700 or g702 or g712 or g715 or g722 or g725 or g731 or g747 or g761 or g796 or g814 or g828 or g831 or g835 or g840 or g841 or g843 or g848 or g855 or g857 or g863 or g870 or g873 or g876 or g878 or g883 or g884 or g889 or g890 or g892 or g897 or g898 or g901 or g913 or g915 or g919 or g935 or g943 or g955 or g959 or g961 or g970 or g971 or g979 or g1000 or g1007 or g1017 or g1059 or g1062 or g1064 or g1077 or g1080 or g1088 or g1106 or g1107 or g1108 or g1122 or g1124 or g1129 or g1133 or g1141 or g1142 or g1182 or g1183 or g1190 or g1195 or g1207 or g1213 or g1219 or g1221 or g1243 or g1254 or g1255 or g1263 or g1266 or g1276 or g1292 or g1298 or g1300 or g1307 or g1309 or g1316 or g1319 or g1324 or g1330 or g1331 or g1340 or g1346 or g1349 or g1354 or g1358 or g1371 or g1373 or g1378 or g1386 or g1388 or g1390 or g1393 or g1394 or g1397 or g1404 or g1413 or g1420 or g1430 or g1431 or g1437 or g1438 or g1444 or g1451 or g1453 or g1462 or g1464 or g1465 or g1466 or g1481 or g1484 or g1490 or g1496 or g1497 or g1499 )
g998    ( g50 or g243 or g258 or g440 or g531 or g724 or g845 or g886 or g919 or g1020 or g1100 or g1116 or g1134 or g1154 or g1293 or g1302 or g1401 or g1413 )
g999    ( g38 or g523 or g1263 or g1481 )
g1000    ( g2 or g69 or g78 or g212 or g234 or g479 or g481 or g583 or g613 or g616 or g680 or g808 or g859 or g909 or g1004 or g1010 or g1052 or g1066 or g1266 or g1284 or g1369 or g1401 or g1448 )
g1001    ( g534 or g744 or g751 or g860 or g870 or g1087 or g1106 or g1208 or g1213 )
g1002    ( g25 or g296 or g515 or g694 or g1096 or g1227 or g1326 or g1464 )
g1003    ( g603 or g923 or g1318 )
g1004    ( g713 or g989 or g1096 or g1208 or g1374 )
g1005    ( g950 or g1155 )
g1006    ( g312 or g761 or g1101 )
g1007    ( g738 or g1315 )
g1008    ( g153 or g229 or g677 or g1120 )
g1009    ( g31 or g156 or g188 or g256 or g343 or g382 or g441 or g457 or g478 or g544 or g601 or g731 or g751 or g811 or g850 or g865 or g938 or g994 or g1001 or g1130 or g1210 or g1231 or g1236 or g1244 or g1247 or g1336 or g1340 or g1368 or g1393 or g1412 or g1416 or g1433 or g1459 or g1466 or g1470 or g1499 )
g1010    ( g15 or g909 or g1201 )
g1011    ( g70 or g278 or g1500 )
g1012    ( g170 or g814 or g953 or g965 or g1256 or g1304 )
g1013    ( g353 or g558 or g922 or g991 or g1321 or g1395 or g1487 )
g1014    ( g836 or g1399 or g1464 )
g1015    ( g32 or g39 or g359 or g544 or g981 or g1092 or g1094 or g1485 )
g1016    ( g35 or g76 or g81 or g148 or g289 or g589 or g707 or g742 or g878 or g913 or g978 or g998 or g1056 or g1208 or g1284 or g1296 or g1337 or g1390 or g1432 or g1493 or g1500 )
g1017    ( g41 or g266 or g373 or g416 or g575 or g620 or g1358 or g1398 or g1461 )
g1018    ( g200 or g288 or g413 or g530 or g579 or g1063 or g1332 or g1364 )
g1019    ( g122 or g138 or g379 or g1148 or g1257 )
g1020    ( g30 or g498 or g696 or g1101 )
g1021    ( g31 or g32 or g421 or g451 )
g1022    ( g79 or g103 or g121 or g126 or g170 or g255 or g842 or g1024 or g1428 )
g1023    ( g22 or g25 or g40 or g43 or g46 or g59 or g91 or g109 or g125 or g133 or g142 or g143 or g160 or g165 or g173 or g177 or g186 or g191 or g201 or g203 or g209 or g218 or g220 or g228 or g249 or g256 or g257 or g268 or g272 or g281 or g288 or g290 or g291 or g300 or g304 or g310 or g311 or g313 or g316 or g326 or g330 or g344 or g346 or g360 or g374 or g376 or g377 or g383 or g384 or g386 or g395 or g410 or g426 or g445 or g451 or g454 or g456 or g465 or g468 or g470 or g500 or g553 or g554 or g566 or g569 or g596 or g603 or g613 or g615 or g618 or g631 or g635 or g637 or g658 or g659 or g660 or g661 or g664 or g676 or g688 or g690 or g708 or g715 or g717 or g721 or g733 or g758 or g763 or g776 or g795 or g801 or g802 or g814 or g816 or g828 or g831 or g835 or g838 or g842 or g848 or g849 or g853 or g856 or g873 or g878 or g881 or g895 or g906 or g910 or g931 or g934 or g940 or g945 or g948 or g954 or g955 or g958 or g960 or g961 or g969 or g971 or g975 or g983 or g985 or g988 or g1016 or g1020 or g1021 or g1026 or g1028 or g1036 or g1045 or g1064 or g1077 or g1078 or g1084 or g1091 or g1099 or g1109 or g1119 or g1122 or g1125 or g1153 or g1154 or g1156 or g1159 or g1161 or g1171 or g1203 or g1216 or g1218 or g1238 or g1243 or g1244 or g1247 or g1249 or g1252 or g1253 or g1264 or g1281 or g1283 or g1290 or g1291 or g1305 or g1315 or g1320 or g1321 or g1329 or g1346 or g1352 or g1361 or g1366 or g1369 or g1374 or g1377 or g1381 or g1399 or g1405 or g1407 or g1410 or g1419 or g1424 or g1430 or g1435 or g1438 or g1445 or g1453 or g1474 or g1475 or g1481 or g1484 or g1485 or g1489 or g1491 or g1494 or g1495 )
g1024    ( g1450 )
g1025    ( g119 or g971 or g1018 or g1042 or g1222 or g1249 )
g1026    ( g64 or g179 or g553 or g904 or g1001 or g1271 )
g1027    ( g916 or g1064 or g1283 or g1292 )
g1028    ( g284 or g723 )
g1029    ( g20 or g21 or g29 or g34 or g47 or g48 or g49 or g59 or g66 or g68 or g72 or g73 or g86 or g100 or g107 or g110 or g112 or g113 or g116 or g117 or g120 or g126 or g141 or g145 or g154 or g156 or g164 or g168 or g169 or g172 or g180 or g181 or g197 or g202 or g214 or g217 or g231 or g233 or g255 or g260 or g264 or g271 or g273 or g284 or g291 or g293 or g310 or g312 or g316 or g322 or g324 or g325 or g337 or g339 or g342 or g355 or g365 or g367 or g372 or g374 or g380 or g381 or g384 or g385 or g390 or g404 or g409 or g415 or g421 or g431 or g457 or g458 or g462 or g468 or g471 or g473 or g488 or g492 or g498 or g505 or g515 or g520 or g532 or g538 or g540 or g548 or g549 or g558 or g571 or g577 or g581 or g588 or g592 or g593 or g594 or g606 or g639 or g645 or g651 or g657 or g658 or g673 or g687 or g693 or g697 or g702 or g705 or g713 or g719 or g721 or g733 or g741 or g745 or g753 or g757 or g769 or g775 or g781 or g786 or g796 or g798 or g800 or g804 or g805 or g806 or g808 or g811 or g821 or g823 or g838 or g842 or g862 or g863 or g864 or g872 or g882 or g889 or g897 or g902 or g906 or g908 or g909 or g917 or g923 or g927 or g946 or g950 or g956 or g962 or g987 or g994 or g995 or g1002 or g1004 or g1005 or g1008 or g1010 or g1019 or g1024 or g1036 or g1040 or g1050 or g1053 or g1057 or g1058 or g1063 or g1071 or g1075 or g1079 or g1081 or g1082 or g1097 or g1103 or g1109 or g1113 or g1115 or g1125 or g1126 or g1131 or g1135 or g1139 or g1146 or g1148 or g1170 or g1171 or g1177 or g1186 or g1187 or g1193 or g1194 or g1198 or g1201 or g1207 or g1210 or g1219 or g1225 or g1231 or g1236 or g1240 or g1242 or g1245 or g1246 or g1250 or g1264 or g1271 or g1272 or g1292 or g1295 or g1302 or g1327 or g1334 or g1340 or g1341 or g1346 or g1347 or g1350 or g1368 or g1370 or g1373 or g1377 or g1379 or g1381 or g1382 or g1387 or g1388 or g1391 or g1392 or g1394 or g1395 or g1399 or g1405 or g1408 or g1409 or g1414 or g1421 or g1423 or g1427 or g1431 or g1432 or g1433 or g1436 or g1445 or g1446 or g1451 or g1456 or g1462 or g1469 or g1472 or g1475 or g1477 or g1482 or g1484 or g1489 or g1490 or g1491 or g1495 or g1500 )
g1030    ( g108 or g148 or g249 or g282 or g349 or g355 or g436 or g464 or g560 or g628 or g760 or g815 or g819 or g917 or g942 or g969 or g1004 or g1050 or g1092 or g1103 or g1267 or g1309 or g1410 or g1423 or g1424 or g1455 or g1500 )
g1031    ( g402 or g414 or g550 or g1102 or g1119 or g1340 or g1488 )
g1032    ( g466 or g1110 or g1190 or g1391 )
g1033    ( g427 or g439 or g1351 )
g1034    ( g153 or g490 or g1285 or g1486 )
g1035    ( g527 or g634 or g950 or g1278 or g1485 )
g1036    ( g53 or g288 or g1005 or g1445 or g1489 )
g1037    ( g103 or g240 or g312 or g315 or g354 or g459 or g478 or g602 or g641 or g703 or g708 or g783 or g893 or g1189 or g1228 or g1319 or g1358 or g1383 or g1498 )
g1038    ( g23 or g383 or g1358 )
g1039    ( g2 or g73 or g75 or g84 or g119 or g145 or g157 or g171 or g184 or g188 or g228 or g258 or g263 or g265 or g303 or g305 or g308 or g320 or g341 or g351 or g360 or g364 or g365 or g370 or g371 or g372 or g376 or g383 or g406 or g447 or g498 or g521 or g556 or g561 or g567 or g571 or g580 or g595 or g608 or g619 or g632 or g633 or g641 or g656 or g666 or g677 or g701 or g712 or g726 or g732 or g757 or g763 or g764 or g772 or g784 or g785 or g791 or g806 or g822 or g824 or g826 or g834 or g846 or g864 or g901 or g908 or g916 or g944 or g947 or g953 or g954 or g958 or g962 or g969 or g976 or g993 or g1017 or g1031 or g1032 or g1040 or g1044 or g1047 or g1049 or g1058 or g1069 or g1076 or g1108 or g1115 or g1120 or g1122 or g1142 or g1158 or g1168 or g1171 or g1184 or g1196 or g1209 or g1218 or g1229 or g1235 or g1242 or g1252 or g1255 or g1286 or g1291 or g1324 or g1328 or g1329 or g1341 or g1351 or g1352 or g1358 or g1371 or g1390 or g1391 or g1393 or g1400 or g1408 or g1421 or g1437 or g1450 or g1456 or g1466 or g1469 or g1471 or g1477 or g1479 or g1487 or g1490 or g1492 or g1493 or g1494 or g1500 )
g1040    ( g848 or g1273 )
g1041    ( g267 or g522 or g606 or g1118 or g1313 )
g1042    ( g126 or g138 or g140 or g190 or g200 or g269 or g438 or g462 or g474 or g537 or g557 or g625 or g684 or g842 or g884 or g889 or g976 or g1008 or g1014 or g1060 or g1079 or g1086 or g1091 or g1130 or g1152 or g1186 or g1193 or g1213 or g1226 or g1288 or g1291 or g1296 or g1339 or g1343 or g1351 or g1409 or g1423 or g1439 or g1472 )
g1043    ( g829 or g935 )
g1044    ( g11 or g18 or g29 or g33 or g42 or g49 or g51 or g64 or g69 or g75 or g86 or g88 or g90 or g94 or g98 or g99 or g100 or g102 or g107 or g108 or g114 or g118 or g125 or g126 or g128 or g135 or g136 or g138 or g140 or g143 or g148 or g150 or g153 or g154 or g179 or g193 or g194 or g199 or g200 or g205 or g207 or g210 or g216 or g231 or g240 or g241 or g249 or g251 or g256 or g260 or g265 or g267 or g271 or g273 or g277 or g285 or g299 or g305 or g307 or g319 or g321 or g327 or g328 or g331 or g333 or g346 or g352 or g357 or g360 or g362 or g364 or g367 or g373 or g377 or g380 or g381 or g385 or g386 or g389 or g390 or g392 or g397 or g402 or g410 or g414 or g420 or g423 or g427 or g430 or g431 or g439 or g440 or g441 or g442 or g445 or g447 or g448 or g455 or g456 or g462 or g463 or g468 or g472 or g482 or g487 or g490 or g495 or g497 or g500 or g505 or g510 or g512 or g513 or g515 or g517 or g523 or g526 or g535 or g538 or g539 or g540 or g549 or g552 or g556 or g557 or g558 or g561 or g564 or g565 or g571 or g572 or g579 or g582 or g586 or g593 or g596 or g598 or g601 or g610 or g612 or g613 or g616 or g618 or g620 or g623 or g628 or g630 or g631 or g633 or g634 or g638 or g641 or g645 or g648 or g649 or g652 or g656 or g659 or g661 or g663 or g664 or g666 or g673 or g678 or g680 or g684 or g686 or g689 or g694 or g696 or g697 or g698 or g701 or g702 or g705 or g709 or g711 or g716 or g721 or g726 or g727 or g733 or g735 or g736 or g744 or g747 or g748 or g751 or g752 or g755 or g761 or g767 or g770 or g773 or g774 or g781 or g786 or g787 or g792 or g794 or g795 or g796 or g797 or g804 or g805 or g807 or g809 or g814 or g815 or g816 or g820 or g821 or g829 or g833 or g847 or g849 or g852 or g855 or g858 or g866 or g876 or g881 or g887 or g888 or g891 or g894 or g895 or g901 or g905 or g907 or g908 or g909 or g912 or g914 or g918 or g920 or g923 or g925 or g926 or g927 or g930 or g935 or g936 or g937 or g942 or g943 or g944 or g945 or g946 or g950 or g956 or g959 or g962 or g970 or g971 or g975 or g980 or g981 or g982 or g990 or g997 or g998 or g1000 or g1009 or g1014 or g1017 or g1019 or g1023 or g1028 or g1029 or g1030 or g1036 or g1043 or g1046 or g1049 or g1050 or g1055 or g1059 or g1062 or g1063 or g1067 or g1074 or g1075 or g1084 or g1096 or g1098 or g1099 or g1100 or g1108 or g1109 or g1113 or g1117 or g1119 or g1122 or g1125 or g1129 or g1131 or g1134 or g1137 or g1142 or g1150 or g1151 or g1153 or g1157 or g1161 or g1162 or g1166 or g1168 or g1171 or g1175 or g1177 or g1187 or g1191 or g1200 or g1205 or g1210 or g1211 or g1215 or g1217 or g1226 or g1231 or g1235 or g1236 or g1242 or g1243 or g1246 or g1247 or g1249 or g1250 or g1252 or g1256 or g1257 or g1258 or g1260 or g1275 or g1276 or g1279 or g1280 or g1281 or g1282 or g1284 or g1287 or g1288 or g1291 or g1293 or g1299 or g1301 or g1303 or g1307 or g1309 or g1311 or g1312 or g1314 or g1315 or g1320 or g1321 or g1323 or g1325 or g1327 or g1329 or g1341 or g1342 or g1345 or g1346 or g1348 or g1350 or g1352 or g1353 or g1355 or g1356 or g1359 or g1361 or g1362 or g1365 or g1366 or g1367 or g1368 or g1373 or g1378 or g1380 or g1388 or g1389 or g1390 or g1391 or g1397 or g1399 or g1400 or g1403 or g1408 or g1411 or g1413 or g1415 or g1418 or g1422 or g1428 or g1431 or g1437 or g1438 or g1439 or g1440 or g1446 or g1447 or g1448 or g1454 or g1458 or g1459 or g1461 or g1462 or g1466 or g1469 or g1470 or g1471 or g1474 or g1478 or g1481 or g1486 or g1487 or g1488 or g1489 or g1490 or g1491 or g1492 or g1495 or g1499 or g1500 )
g1045    ( g518 or g1293 )
g1046    ( g156 or g483 or g981 or g1254 )
g1047    ( g125 or g297 or g307 or g346 or g441 or g796 or g843 or g880 or g1206 or g1371 or g1441 or g1474 )
g1048    ( g3 or g224 or g286 or g321 or g443 or g621 or g1130 or g1166 or g1217 or g1252 or g1386 or g1402 )
g1049    ( g2 or g146 or g174 or g433 or g485 or g569 or g652 or g659 or g671 or g674 or g809 or g913 or g988 or g1269 or g1402 )
g1050    ( g183 or g464 or g729 or g833 or g1319 or g1429 )
g1051    ( g146 or g181 or g391 or g566 or g654 or g816 or g899 )
g1052    ( g457 or g907 )
g1053    ( g44 or g581 or g916 or g1081 or g1206 or g1329 or g1380 or g1392 or g1483 )
g1054    ( g128 or g243 or g525 or g564 or g919 or g940 or g1293 or g1323 or g1381 or g1479 )
g1055    ( g213 or g251 or g478 or g624 or g865 or g1163 )
g1056    ( g194 or g229 or g262 or g488 or g531 or g646 or g718 )
g1057    ( g99 or g107 or g108 or g151 or g184 or g187 or g194 or g197 or g208 or g256 or g274 or g346 or g353 or g399 or g437 or g457 or g461 or g464 or g595 or g611 or g626 or g670 or g678 or g685 or g716 or g728 or g759 or g814 or g865 or g943 or g961 or g982 or g984 or g1012 or g1021 or g1047 or g1048 or g1051 or g1064 or g1068 or g1069 or g1078 or g1132 or g1140 or g1150 or g1166 or g1175 or g1183 or g1196 or g1234 or g1303 or g1321 or g1337 or g1430 or g1439 or g1482 )
g1058    ( g844 or g898 or g1334 or g1498 )
g1059    ( g25 or g117 or g237 or g257 or g393 or g415 or g428 or g504 or g634 or g943 or g1319 or g1355 )
g1060    ( g64 or g188 or g200 or g210 or g215 or g235 or g247 or g310 or g324 or g331 or g455 or g461 or g488 or g587 or g812 or g874 or g960 or g982 or g1007 or g1017 or g1133 or g1140 or g1220 or g1232 or g1290 or g1302 or g1324 or g1428 or g1435 or g1493 )
g1061    ( g46 or g158 or g202 or g415 or g590 or g668 or g865 or g988 or g1100 or g1430 or g1481 )
g1062    ( g19 or g157 or g170 or g954 or g1185 or g1363 or g1496 )
g1063    ( g1010 or g1066 or g1212 or g1394 or g1455 )
g1064    ( g744 or g776 or g902 or g1205 or g1298 )
g1065    ( g47 or g134 or g167 or g387 or g491 or g706 or g763 or g838 or g936 or g960 or g1029 or g1067 or g1150 or g1263 or g1298 or g1374 or g1396 or g1488 )
g1066    ( g68 or g746 or g1042 or g1272 or g1401 or g1493 )
g1067    ( g21 or g290 or g503 or g686 or g727 or g740 or g814 or g816 or g826 or g1063 or g1279 or g1282 or g1289 or g1352 or g1354 or g1380 or g1474 )
g1068    ( g67 or g70 or g306 or g1181 or g1211 or g1436 )
g1069    ( g84 or g371 or g396 or g547 or g717 or g876 or g1002 or g1377 or g1383 )
g1070    ( g77 or g156 or g170 or g376 or g408 or g410 or g611 or g785 or g945 or g972 or g1131 or g1192 or g1313 or g1383 or g1418 or g1459 )
g1071    ( g451 or g499 or g1179 or g1249 )
g1072    ( g208 or g783 or g831 or g966 or g1005 )
g1073    ( g79 or g94 or g153 or g242 or g395 or g449 or g597 or g726 or g795 or g866 or g1031 or g1106 or g1328 or g1382 or g1383 or g1426 or g1427 or g1449 )
g1074    ( g34 or g112 or g281 or g307 or g363 or g381 or g431 or g442 or g499 or g731 or g770 or g829 or g857 or g873 or g875 or g882 or g887 or g917 or g946 or g977 or g1063 or g1098 or g1247 or g1300 or g1345 or g1431 or g1441 or g1450 or g1458 )
g1075    ( g58 or g116 or g339 or g520 or g639 or g878 or g925 or g967 or g1166 or g1261 or g1454 or g1495 )
g1076    ( g69 or g374 or g623 or g743 or g1443 )
g1077    ( g52 or g58 or g217 or g320 or g345 or g367 or g440 or g444 or g484 or g593 or g729 or g755 or g774 or g860 or g1020 or g1098 or g1134 or g1215 or g1337 or g1425 or g1434 or g1438 or g1446 or g1457 )
g1078    ( g367 or g1153 )
